Year,Month,Day,Global Solar Radiation (MJ/m&sup2;) - King's Park_Value,completeness
1981,3,19,2.34,C
1981,3,20,18.71,C
1981,3,21,14.58,C
1981,3,22,1.70,C
1981,3,23,7.23,C
1981,3,24,4.58,C
1981,3,25,10.19,C
1981,3,26,10.41,C
1981,3,27,7.20,C
1981,3,28,19.37,C
1981,3,29,15.23,C
1981,3,30,5.46,C
1981,3,31,11.40,C
1981,4,1,5.55,C
1981,4,2,20.74,C
1981,4,3,4.49,C
1981,4,4,10.91,C
1981,4,5,7.49,C
1981,4,6,9.27,C
1981,4,7,14.25,C
1981,4,8,6.75,C
1981,4,9,8.74,C
1981,4,10,14.00,C
1981,4,11,12.83,C
1981,4,12,9.42,C
1981,4,13,13.75,C
1981,4,14,2.03,C
1981,4,15,8.48,C
1981,4,16,15.69,C
1981,4,17,6.60,C
1981,4,18,16.38,C
1981,4,19,14.29,C
1981,4,20,6.01,C
1981,4,21,12.17,C
1981,4,22,6.01,C
1981,4,23,3.75,C
1981,4,24,16.82,C
1981,4,25,5.58,C
1981,4,26,16.69,C
1981,4,27,14.87,C
1981,4,28,21.67,C
1981,4,29,12.85,C
1981,4,30,22.77,C
1981,5,1,17.26,C
1981,5,2,18.81,C
1981,5,3,12.06,C
1981,5,4,5.28,C
1981,5,5,11.31,C
1981,5,6,13.93,C
1981,5,7,22.09,C
1981,5,8,21.48,C
1981,5,9,8.47,C
1981,5,10,1.79,C
1981,5,11,5.11,C
1981,5,12,8.16,C
1981,5,13,10.30,C
1981,5,14,4.43,C
1981,5,15,7.49,C
1981,5,16,18.30,C
1981,5,17,24.74,C
1981,5,18,25.28,C
1981,5,19,20.65,C
1981,5,20,6.45,C
1981,5,21,5.21,C
1981,5,22,12.00,C
1981,5,23,21.41,C
1981,5,24,12.17,C
1981,5,25,15.83,C
1981,5,26,11.66,C
1981,5,27,16.96,C
1981,5,28,14.12,C
1981,5,29,12.04,C
1981,5,30,16.11,C
1981,5,31,9.26,C
1981,6,1,9.02,C
1981,6,2,6.50,C
1981,6,3,11.77,C
1981,6,4,4.32,C
1981,6,5,7.25,C
1981,6,6,5.01,C
1981,6,7,25.35,C
1981,6,8,19.17,C
1981,6,9,15.58,C
1981,6,10,7.70,C
1981,6,11,14.22,C
1981,6,12,10.96,C
1981,6,13,16.00,C
1981,6,14,10.65,C
1981,6,15,8.65,C
1981,6,16,20.21,C
1981,6,17,18.45,C
1981,6,18,20.10,C
1981,6,19,22.82,C
1981,6,20,24.65,C
1981,6,21,24.70,C
1981,6,22,24.04,C
1981,6,23,17.50,C
1981,6,24,14.43,C
1981,6,25,10.86,C
1981,6,26,25.09,C
1981,6,27,23.74,C
1981,6,28,11.41,C
1981,6,29,13.39,C
1981,6,30,3.13,C
1981,7,1,3.90,C
1981,7,2,14.30,C
1981,7,3,15.20,C
1981,7,4,20.48,C
1981,7,5,24.28,C
1981,7,6,7.31,C
1981,7,7,9.23,C
1981,7,8,18.33,C
1981,7,9,24.77,C
1981,7,10,18.82,C
1981,7,11,22.76,C
1981,7,12,23.45,C
1981,7,13,22.02,C
1981,7,14,19.94,C
1981,7,15,14.97,C
1981,7,16,24.31,C
1981,7,17,21.88,C
1981,7,18,4.62,C
1981,7,19,22.58,C
1981,7,20,19.52,C
1981,7,21,10.16,C
1981,7,22,11.90,C
1981,7,23,5.06,C
1981,7,24,9.29,C
1981,7,25,3.59,C
1981,7,26,6.26,C
1981,7,27,1.29,C
1981,7,28,5.12,C
1981,7,29,22.14,C
1981,7,30,24.11,C
1981,7,31,24.69,C
1981,8,1,8.81,C
1981,8,2,4.79,C
1981,8,3,9.09,C
1981,8,4,24.00,C
1981,8,5,16.28,C
1981,8,6,16.85,C
1981,8,7,15.91,C
1981,8,8,24.09,C
1981,8,9,19.22,C
1981,8,10,14.85,C
1981,8,11,16.35,C
1981,8,12,23.97,C
1981,8,13,19.00,C
1981,8,14,13.89,C
1981,8,15,23.63,C
1981,8,16,16.45,C
1981,8,17,17.06,C
1981,8,18,15.73,C
1981,8,19,20.15,C
1981,8,20,20.38,C
1981,8,21,23.34,C
1981,8,22,24.36,C
1981,8,23,20.03,C
1981,8,24,18.74,C
1981,8,25,16.67,C
1981,8,26,22.50,C
1981,8,27,1.94,C
1981,8,28,18.71,C
1981,8,29,12.60,C
1981,8,30,18.82,C
1981,8,31,18.83,C
1981,9,1,14.08,C
1981,9,2,21.31,C
1981,9,3,4.25,C
1981,9,4,4.27,C
1981,9,5,5.93,C
1981,9,6,15.07,C
1981,9,7,10.71,C
1981,9,8,10.26,C
1981,9,9,19.13,C
1981,9,10,11.14,C
1981,9,11,20.37,C
1981,9,12,14.56,C
1981,9,13,21.72,C
1981,9,14,14.88,C
1981,9,15,7.37,C
1981,9,16,14.86,C
1981,9,17,9.82,C
1981,9,18,8.57,C
1981,9,19,13.18,C
1981,9,20,19.34,C
1981,9,21,7.82,C
1981,9,22,4.30,C
1981,9,23,12.31,C
1981,9,24,17.11,C
1981,9,25,20.37,C
1981,9,26,18.82,C
1981,9,27,19.66,C
1981,9,28,3.32,C
1981,9,29,4.08,C
1981,9,30,8.18,C
1981,10,1,11.99,C
1981,10,2,4.55,C
1981,10,3,9.23,C
1981,10,4,9.08,C
1981,10,5,4.07,C
